GEOID10,COUNTYFP10,TRACTCE10,Cnty_Name,City_Name,ZIP,Acres,SqMiles,Pop_16,Pop_Den,Pop_Src,Pop_10,White_Pct,Black_Pct,Asian_Pct,Latino_Pct,Mltpl_Pct,NatAm_Pct,PacIs_Pct,Other_Pct,NonWhite_P,Race_Src,Elders_Pct,Elders_Rpt,Elders_Src,SpksEng_Pc,SpksEng_Rp,SpksEng_Sr,UnEmp_Rate,Emp_15,Emp_Den,Emp_Src,Income_Pct,Income_Rpt,Income_Src,Under19_Pc,MHI2016,num_bikelanes_Cls0,num_bikelanes_Cls1,num_bikelanes_Cls2,num_bikelanes_Cls3,num_bikelanes_Cls4,num_bikelanes_Cls5,All_lengths,tract2,county,sqmi,pop15den,pop90,pop00,pop15,nhw90,nhw00,nhw15,blk90,blk00,blk15,asian90,asian00,asian15,hisp90,hisp00,hisp15,lths90,lths00,lths15,col90,col00,col15,jobs15,povt90,povt00,povt15,inc15,inc90,inc00,rent90,rent00,rent15,burd90,burd00,burd15,mgr90,mgr00,mgr15,hcv00,hcv15,Chg_median_rent2000_2015,Chg_median_rent1990_2000,Chg_nonHisp_whites2000_2015,Chg_median_rent1990_2000,Change _popu_less_highsch2000_2015,Change_collg_adultpopu1990_2000,Change_collg_adult_popu2000_2015,Chg_median_fam_inc1990_2000,Chg_median_fam_inc2000_2015,Chg_rentburden_fam1990_2000,Chg_rentburden_fam2000_2015,Chg_median_rent_1990_2000,Chg_Sec8_fam2000_2015,Racial_Ethnic_Composition_1990,Racial_Ethnic_Composition_2000,Racial_Ethnic_Composition_2015,Disadv_Neighborhds1990_2000,Disadv_Neighborhds2000_2015,Gentrified_1990_2000,Gentrified_2000_2015,Disadv_Neighborhds1990_2015,Gentrified_1990_2015,Job_density_2015_jobs_sqmi,disadvantaged_improved,disadvantaged_worsened,disadvantaged_sustained_high,disadvantaged_sustained_low,gentrification_improved,gentrification_worsened,gentrification_sustained_high,gentrification_sustained_low,dense,diverse,transient,established,accessible,tract_FIPS,neighbourhood_type
6059062640,59,62640,Orange,Aliso Viejo,92656,364.033622,0.568803,3749,6591,ACS_16_5YR,3407,69.293478,0,12.741546,14.039855,3.925121,0,0,0,30.706522,2048 HPI,5.8,2011-2015,ACS_15_5YR_S0101,96.80919,2011-2015,ACS_15_5YR_B16002,0.070934,2844,4999.977715,LEHD 2015,82775,2011-2015,ACS_15_5YR_DP03,24.1,87169,0,0,0,0,0,0,0,6059062640,59,0.5691949,6646.229613,392.8309864,3548.425606,3783,0.852253033,0.734497345,0.625693894,0.009315425,0.017193729,0.033306899,0.058275563,0.101462806,0.111816019,0.076473136,0.105975799,0.192175522,0.062535532,0.028357343,0.040432346,0.411455372,0.423003658,0.521617294,2844,0.045618248,0.021030772,0.06807947,82775,91133.87264,100735.0471,0.25712283,0.47813823,0.439693682,0.492279746,0.442178691,0.460087083,1761.233957,1780.935202,1848,0.000607466,0.001276324,67.06479821,-0.117755688,-0.108803451,-0.034178188,0.012075003,0.011548286,0.098613636,9601.174436,-17960.04707,-0.050101054,0.017908391,19.70124525,0.000668859,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,4996.531065,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.772801042,0.981111336,0.714351161,-1.479462982,0.427193725,6059062640,Patchwork
6059062641,59,62641,Orange,Aliso Viejo,92637,528.675574,0.826056,5223,6323,ACS_16_5YR,4249,51.813842,0,9.976134,35.513126,2.696897,0,0,0,48.186158,2049 HPI,23.2,2011-2015,ACS_15_5YR_S0101,96.350735,2011-2015,ACS_15_5YR_B16002,0.096161,915,1107.673645,LEHD 2015,71813,2011-2015,ACS_15_5YR_DP03,23.2,81000,0,0,0,0,0,0,0,6059062641,59,0.8266239,6228.95128,501.9542766,3604.528987,5149,0.852253033,0.621484337,0.565740921,0.009315425,0.022583112,0.010099048,0.058275563,0.072275829,0.155175762,0.076473134,0.262530433,0.249757234,0.062535532,0.096592883,0.09515813,0.411455372,0.328095976,0.516092919,915,0.045618248,0.041068019,0.065061177,71813,91133.87094,74947.23872,0.257122836,0.366745505,0.408008109,0.492279746,0.610926636,0.737888199,1761.233957,1615.555706,1799,0.015768027,0.023821591,183.4442937,-0.230768696,-0.055743416,0.034057351,-0.001434752,-0.083359397,0.187996943,-16186.63222,-3134.238715,0.118646891,0.126961562,-145.6782502,0.008053564,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,1106.912104,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.620221955,-0.523142486,0.466627655,-0.628976832,0.417619399,6059062641,New development
6059062642,59,62642,Orange,Newport Beach,92625,503.806789,0.787198,2646,3361,ACS_16_5YR,2832,94.48173,0,5.51827,0,0,0,0,0,5.51827,2050 HPI,40.4,2011-2015,ACS_15_5YR_S0101,100,2011-2015,ACS_15_5YR_B16002,0.018147,351,445.885218,LEHD 2015,142839,2011-2015,ACS_15_5YR_DP03,15.4,133690,0,0,0,0,0,0,0,6059062642,59,0.7877025,3417.533904,877.1049904,3243,2692,0.945118008,0.886833179,0.825780089,0.001229778,0.001541782,0,0.027386769,0.063521431,0.078751857,0.025217364,0.032685785,0.066493314,0.04125241,0.039525692,0.009589041,0.569647327,0.679051383,0.688127854,351,0.04622957,0.069495489,0.092124814,142839,145747.7071,114315.4687,0.224910493,0.103709311,0.1754524,0.370066007,0.291970803,0.251121076,1731.054978,1867.618182,3500,0,0,1632.381818,-0.058284828,-0.06105309,-0.001726718,-0.029936651,0.109404056,0.00907647,-31432.23837,28523.53126,-0.078095204,-0.040849727,136.5632043,0,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,445.5997029,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.719927644,-0.831584035,-1.185353963,0.853755563,0.0574054,6059062642,Established suburb
6059062643,59,62643,Orange,Newport Beach,92657,5030.573958,7.860272,6878,875,ACS_16_5YR,7246,72.333612,0,18.82484,4.789752,4.051796,0,0,0,27.666388,2051 HPI,19.7,2011-2015,ACS_15_5YR_S0101,97.65861,2011-2015,ACS_15_5YR_B16002,0.032565,1813,230.653601,LEHD 2015,233026,2011-2015,ACS_15_5YR_DP03,17,249597,0,0,0,0,0,0,0,6059062643,59,7.266985,979.7735925,3807.867247,3461.818402,7120,0.943128672,0.781981891,0.671067416,0.001111403,0.00213298,0,0.028898804,0.147229388,0.211516854,0.026015937,0.040142459,0.036516854,0.042726654,0.023035065,0.013858093,0.565738615,0.702011368,0.762195122,1813,0.044225043,0.022409069,0.030196629,233026,150936.9313,222848.8753,0.189181471,0.047924937,0.164652568,0.377904475,0.225652295,0.206422018,1711.867225,1298.625818,2802,9.20E-06,0.000377644,1503.374182,-0.161146781,-0.110914475,-0.019691589,-0.009176972,0.136272753,0.060183754,71911.94393,10177.12473,-0.15225218,-0.019230276,-413.2414067,0.000368448,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,249.4844836,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.050694017,-0.240837156,-0.8092407,-1.851968249,-0.459468456,6059062643,New development
6059062644,59,62644,Orange,Newport Beach,92660,1077.004344,1.682819,8939,5312,ACS_16_5YR,8249,83.388501,0,7.821503,6.338115,2.451882,0,0,0,16.611499,2052 HPI,12.4,2011-2015,ACS_15_5YR_S0101,98.274239,2011-2015,ACS_15_5YR_B16002,0.077072,1056,627.51836,LEHD 2015,128490,2011-2015,ACS_15_5YR_DP03,29.3,136831,0,0,0,0,0,0,0,6059062644,59,1.648086,5287.345442,4115.949054,6558,8714,0.886849379,0.874809393,0.822813863,0.005634869,0.006861848,0,0.070193049,0.061299177,0.105118201,0.03733647,0.042390973,0.066903833,0.027074938,0.026743927,0.019037546,0.611483907,0.678404279,0.734708267,1056,0.060273213,0.032547529,0.101675465,128490,163638.0088,152580.4716,0.300347398,0.376597444,0.531534358,0.325425372,0.307529162,0.507083825,1720.10899,1933.679842,2359,0.004392971,0.002196423,425.3201581,-0.012039986,-0.05199553,-0.000331011,-0.007706381,0.066920372,0.056303988,-11057.53723,-24090.4716,-0.01789621,0.199554663,213.5708517,-0.002196548,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,640.7432622,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.735418295,-0.648454259,0.904448389,-0.562219507,-0.218082261,6059062644,Urban residential
6059062645,59,62645,Orange,Newport Beach,92657,1421.248249,2.2207,6681,3009,ACS_16_5YR,6084,77.245608,0,14.02055,5.203845,3.529997,0,0,0,22.754392,2053 HPI,17.9,2011-2015,ACS_15_5YR_S0101,96.132813,2011-2015,ACS_15_5YR_B16002,0.048322,535,240.914985,LEHD 2015,167875,2011-2015,ACS_15_5YR_DP03,26.5,193000,0,0,0,0,0,0,0,6059062645,59,2.137578,3153.569133,3412.880915,4824,6741,0.899948356,0.826492537,0.734757454,0.00425073,0.004353234,0,0.060864002,0.113598673,0.162883845,0.034868426,0.034411277,0.059338377,0.029762063,0.016,0.012030075,0.601489186,0.712551724,0.69301826,535,0.05398195,0.025290216,0.048509123,167875,164530.1417,163252.7233,0.278633822,0.312019231,0.353125,0.320174853,0.291217257,0.365044248,1753.808725,2319.039526,2608,0,0,288.9604743,-0.073455819,-0.091735083,-0.013762063,-0.003969925,0.111062539,-0.019533464,-1277.418373,4622.276665,-0.028957596,0.07382699,565.2308004,0,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,250.2832645,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.303574636,-0.891718792,0.314591362,-1.159939579,0.226071046,6059062645,New development
6059062646,59,62646,Orange,Laguna Woods,92637,320.023829,0.500037,3730,7459,ACS_16_5YR,3257,84.857053,0,10.775997,4.366949,0,0,0,0,15.142947,2054 HPI,80,2011-2015,ACS_15_5YR_S0101,87.719969,2011-2015,ACS_15_5YR_B16002,0.149679,692,1383.896948,LEHD 2015,33683,2011-2015,ACS_15_5YR_DP03,0,36262,0,0,0,0,0,0,0,6059062646,59,0.5003834,7452.285587,3549.884543,3643,3729,0.931068318,0.931649739,0.788415125,0.007481908,0.002195992,0.012067578,0.026861278,0.030194894,0.164387235,0.032380719,0.026900906,0.026816841,0.136772487,0.123337029,0.036480687,0.267460317,0.29905765,0.352736052,692,0.059765209,0.058027079,0.127648163,33683,49240.94249,36452.14303,0.183613027,0.142699115,0.175592961,0.640860215,0.728682171,0.592592593,1741.879737,2753.945455,1291,0.000368732,0.002677888,-1462.945455,0.000581421,-0.143234615,-0.013435458,-0.086856342,0.031597332,0.053678402,-12788.79946,-2769.143032,0.087821955,-0.136089578,1012.065717,0.002309157,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,1382.939562,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.736148917,0.748169478,-0.505326114,0.395722273,1.692952201,6059062646,Patchwork
6059062647,59,62647,Orange,Laguna Woods,92637,436.156234,0.681494,4426,6495,ACS_16_5YR,4123,67.033792,0,15.394243,17.571965,0,0,0,0,32.966208,2055 HPI,41.9,2011-2015,ACS_15_5YR_S0101,93.445879,2011-2015,ACS_15_5YR_B16002,0.081764,5742,8425.604668,LEHD 2015,39123,2011-2015,ACS_15_5YR_DP03,12.7,42095,0,0,0,0,0,0,0,6059062647,59,0.6819668,6158.657577,4589.765973,4206,4200,0.931068318,0.780076082,0.516428571,0.007481908,0.010699001,0.004047619,0.026861278,0.071564432,0.269047619,0.032380718,0.12125535,0.19452381,0.136772487,0.112057127,0.102657343,0.267460317,0.269706125,0.428811189,5742,0.059765209,0.066967645,0.077890067,39123,49240.94364,47709.23416,0.183613029,0.344090528,0.437437934,0.640860215,0.674786845,0.501702611,1741.879737,2491.075099,1743,0,0.000496524,-748.0750988,-0.150992237,-0.26364751,-0.02471536,-0.009399785,0.002245807,0.159105064,-1531.709474,-8586.234164,0.03392663,-0.173084235,749.1953616,0.000496524,01. Majority NHW,01. Majority NHW,01. Majority NHW,0,0,0,0,,,8419.764716,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.856842681,2.065905391,0.499746668,-0.311994181,1.037455142,6059062647,Mixed-use
6059099251,59,99251,Orange,Fountain Valley,92708,326.84852,0.510701,5784,11326,ACS_16_5YR,5218,38.366241,1.955091,34.107627,22.45451,3.116531,0,0,0,61.633759,2056 HPI,9.2,2011-2015,ACS_15_5YR_S0101,92.007612,2011-2015,ACS_15_5YR_B16002,0.026811,4862,9520.251164,LEHD 2015,65679,2011-2015,ACS_15_5YR_DP03,26,68225,0,0,0,0,0,0,0,6059099251,59,0.5110143,11522.18245,3833.783706,5187,5888,0.69253178,0.481203008,0.343240489,0.017876059,0.021014074,0.023947011,0.147510593,0.263929053,0.334748641,0.132018006,0.189126663,0.289232337,0.147355912,0.193149916,0.08263236,0.268964151,0.318921954,0.385700148,4862,0.046180933,0.074995253,0.135351131,65679,75815.65893,68466.05231,0.628104817,0.757694187,0.728829686,0.420910076,0.475177305,0.498694517,1449.806973,1359.76917,1494,0.014655594,0.052806851,134.23083,-0.211328772,-0.137962518,0.045794004,-0.110517556,0.049957803,0.066778194,-7349.606626,-2787.052309,0.054267229,0.023517212,-90.03780326,0.038151257,01. Majority NHW,05. No Majority,05. No Majority,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",9514.410849,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.80172876,2.076987271,1.394076669,0.175181556,1.791060498,6059099251,Mixed-use
6059099305,59,99305,Orange,Huntington Beach,92648,346.607685,0.541575,7909,14604,ACS_16_5YR,7143,64.686563,0,6.168785,25.803227,3.341425,0,0,0,35.313437,2057 HPI,6.7,2011-2015,ACS_15_5YR_S0101,96.965517,2011-2015,ACS_15_5YR_B16002,0.064437,1550,2862.025407,LEHD 2015,66658,2011-2015,ACS_15_5YR_DP03,21.3,76797,0,0,0,0,0,0,0,6059099305,59,0.541894,14524.9809,7152.285231,7414.776261,7871,0.728109215,0.662096757,0.5261085,0.012852127,0.00672043,0.007241774,0.041895516,0.047446237,0.050946513,0.210409216,0.253629034,0.34506416,0.178024412,0.185672515,0.118060696,0.228453716,0.268796992,0.285899334,1550,0.076511215,0.097646739,0.112183966,66658,73384.41999,72279.60165,0.74852141,0.695404226,0.736551724,0.450715723,0.372889532,0.485486891,1498.011755,1341.87747,1485,0.018785642,0.02862069,143.1225296,-0.066012458,-0.135988257,0.007648103,-0.067611819,0.040343277,0.017102341,-1104.818342,-5621.601647,-0.077826191,0.112597359,-156.1342845,0.009835047,01. Majority NHW,01. Majority NHW,01. Majority NHW,1,1,0,0,Disadvantaged Both Decades,"Disadvantaged, Did Not Gentrify",2860.338,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.984054667,-0.24906867,1.694725651,-0.338965793,0.650562099,6059099305,Urban residential
